timestamp,MAF,delta_t,CO2_g,CO2_cumulative_g
2025-04-11 18:45:12,28.13,1.0,5.939011631482897,185.8321595419457
2025-04-11 18:45:13,24.13,1.0,5.094502334435915,190.92666187638162
2025-04-11 18:45:14,15.05,1.0,3.1774662301392675,194.10412810652088
2025-04-11 18:45:15,9.61,1.0,2.0289335861553726,196.13306169267625
2025-04-11 18:45:16,5.5200000000000005,1.0,1.1654228299248344,197.2984845226011
2025-04-11 18:45:17,6.36,1.0,1.3427697823047005,198.6412543049058
2025-04-11 18:45:18,6.3,1.0,1.3301021428489956,199.9713564477548
2025-04-11 18:45:19,11.63,1.0,2.455410781164099,202.4267672289189
2025-04-11 18:45:20,6.05,1.0,1.2773203117835594,203.70408754070246
2025-04-11 18:45:21,6.55,1.0,1.382883973914432,205.0869715146169
2025-04-11 18:45:22,6.69,1.0,1.4124417993110765,206.49941331392796
