timestamp,SPEED(km/h),MAF(g/s),CO2(g),CO2 ´©Àû(g),PPM/sec
2025-06-18 18:19:08,0.0,10.94,2.4949,378.07,19593.28
2025-06-18 18:19:09,0.0,11.27,2.5693,380.64,20184.3
2025-06-18 18:19:10,0.0,11.13,2.5376,383.18,19933.57
2025-06-18 18:19:12,0.0,11.05,2.5187,385.7,19790.29
2025-06-18 18:19:13,0.0,11.22,2.5587,388.26,20094.75
2025-06-18 18:19:14,0.0,10.99,2.506,390.76,19682.83
2025-06-18 18:19:15,0.0,10.55,2.4059,393.17,18894.8
2025-06-18 18:19:16,0.0,10.74,2.4489,395.62,19235.09
2025-06-18 18:19:17,0.0,11.08,2.528,398.15,19844.02
2025-06-18 18:19:18,0.0,11.02,2.5117,400.66,19736.56
2025-06-18 18:19:19,0.0,10.99,2.505,403.16,19682.83
2025-06-18 18:19:20,0.0,11.08,2.527,405.69,19844.02
2025-06-18 18:19:21,0.0,10.8,2.4639,408.15,19342.54
2025-06-18 18:19:22,0.0,10.99,2.505,410.66,19682.83
2025-06-18 18:19:23,0.0,10.8,2.461,413.12,19342.54
2025-06-18 18:19:25,0.0,10.97,2.5033,415.62,19647.01
2025-06-18 18:19:26,0.0,10.97,2.501,418.12,19647.01
2025-06-18 18:19:27,0.0,11.19,2.5499,420.67,20041.02
2025-06-18 18:19:28,0.0,10.88,2.4823,423.16,19485.82
2025-06-18 18:19:29,0.0,11.27,2.5692,425.72,20184.3
2025-06-18 18:19:30,0.0,11.11,2.5333,428.26,19897.75
2025-06-18 18:19:31,0.0,10.94,2.4937,430.75,19593.28
2025-06-18 18:19:32,0.0,11.24,2.5645,433.32,20130.57
2025-06-18 18:19:33,0.0,11.02,2.5131,435.83,19736.56
2025-06-18 18:19:34,0.0,10.99,2.5052,438.33,19682.83
2025-06-18 18:19:35,0.0,11.3,2.5764,440.91,20238.03
2025-06-18 18:19:36,0.0,11.05,2.5207,443.43,19790.29
2025-06-18 18:19:38,0.0,11.02,2.5587,445.99,19736.56
2025-06-18 18:19:39,0.0,10.69,2.4464,448.44,19145.54
2025-06-18 18:19:40,0.0,11.16,2.5586,451.0,19987.3
2025-06-18 18:19:41,0.0,11.02,2.5127,453.51,19736.56
2025-06-18 18:19:42,0.0,10.99,2.5058,456.01,19682.83
2025-06-18 18:19:43,0.0,10.88,2.5603,458.57,19485.82
2025-06-18 18:19:44,0.0,11.11,2.5508,461.12,19897.75
2025-06-18 18:19:45,0.0,10.86,2.4771,463.6,19450.0
2025-06-18 18:19:46,0.0,11.08,2.5254,466.13,19844.02
2025-06-18 18:19:47,0.0,11.36,2.5903,468.72,20345.49
2025-06-18 18:19:48,0.0,10.88,2.4812,471.2,19485.82
2025-06-18 18:19:49,0.0,11.19,2.5523,473.75,20041.02
2025-06-18 18:19:51,0.0,11.13,2.5367,476.29,19933.57
2025-06-18 18:19:52,0.0,10.77,2.4568,478.74,19288.81
2025-06-18 18:19:53,0.0,10.69,2.4371,481.18,19145.54
2025-06-18 18:19:54,0.0,11.19,2.5499,483.73,20041.02
2025-06-18 18:19:55,0.0,11.27,2.5691,486.3,20184.3
2025-06-18 18:19:56,0.0,10.94,2.4952,488.8,19593.28
2025-06-18 18:19:57,0.0,11.36,2.5909,491.39,20345.49
2025-06-18 18:19:58,0.0,10.88,2.4803,493.87,19485.82
2025-06-18 18:19:59,0.0,10.66,2.4307,496.3,19091.81
2025-06-18 18:20:00,0.0,11.16,2.5443,498.84,19987.3
2025-06-18 18:20:01,0.0,11.27,2.5701,501.41,20184.3
2025-06-18 18:20:02,0.0,10.91,2.4886,503.9,19539.55
2025-06-18 18:20:03,0.0,10.99,2.5063,506.41,19682.83
2025-06-18 18:20:05,0.0,11.19,2.5513,508.96,20041.02
2025-06-18 18:20:06,0.0,10.83,2.4693,511.43,19396.27
2025-06-18 18:20:07,0.0,10.91,2.4875,513.92,19539.55
2025-06-18 18:20:08,0.0,10.94,2.4944,516.41,19593.28
2025-06-18 18:20:09,0.0,10.74,2.4493,518.86,19235.09
2025-06-18 18:20:10,0.0,10.69,2.4379,521.3,19145.54
2025-06-18 18:20:11,0.0,10.97,2.5007,523.8,19647.01
2025-06-18 18:20:12,0.0,10.49,2.3923,526.19,18787.34
2025-06-18 18:20:13,0.0,10.88,2.4806,528.67,19485.82
2025-06-18 18:20:14,0.0,11.11,2.5968,531.27,19897.75
2025-06-18 18:20:15,0.0,11.05,2.5265,533.79,19790.29
2025-06-18 18:20:16,0.0,11.19,2.5507,536.34,20041.02
2025-06-18 18:20:18,0.0,10.88,2.4804,538.83,19485.82
2025-06-18 18:20:19,0.0,10.83,2.4711,541.3,19396.27
2025-06-18 18:20:20,0.0,10.91,2.4865,543.78,19539.55
2025-06-18 18:20:21,0.0,11.38,2.5946,546.38,20381.31
2025-06-18 18:20:22,0.0,10.58,2.4127,548.79,18948.53
2025-06-18 18:20:23,0.0,10.88,2.4804,551.27,19485.82
2025-06-18 18:20:24,0.0,10.94,2.4944,553.76,19593.28
2025-06-18 18:20:25,0.0,10.88,2.4816,556.25,19485.82
2025-06-18 18:20:26,0.0,11.16,2.5447,558.79,19987.3
2025-06-18 18:20:27,0.0,10.94,2.4944,561.29,19593.28
2025-06-18 18:20:28,0.0,10.77,2.4557,563.74,19288.81
2025-06-18 18:20:29,0.0,10.91,2.4873,566.23,19539.55
2025-06-18 18:20:31,0.0,11.47,2.6164,568.84,20542.5
2025-06-18 18:20:32,0.0,11.3,2.5756,571.42,20238.03
2025-06-18 18:20:33,0.0,10.94,2.4947,573.92,19593.28
2025-06-18 18:20:34,0.0,10.86,2.4773,576.39,19450.0
2025-06-18 18:20:35,0.0,11.22,2.557,578.95,20094.75
2025-06-18 18:20:36,0.0,10.97,2.5023,581.45,19647.01
2025-06-18 18:20:37,0.0,10.49,2.3918,583.84,18787.34
2025-06-18 18:20:38,0.0,10.99,2.5062,586.35,19682.83
2025-06-18 18:20:39,0.0,11.13,2.5382,588.89,19933.57
2025-06-18 18:20:40,0.0,10.97,2.5006,591.39,19647.01
2025-06-18 18:20:41,0.0,11.13,2.5388,593.93,19933.57
2025-06-18 18:20:42,0.0,11.05,2.5186,596.45,19790.29
2025-06-18 18:20:43,0.0,11.47,2.6143,599.06,20542.5
2025-06-18 18:20:45,0.0,10.88,2.4816,601.54,19485.82
2025-06-18 18:20:46,0.0,10.97,2.5641,604.11,19647.01
2025-06-18 18:20:47,0.0,10.94,2.5018,606.61,19593.28
2025-06-18 18:20:48,0.0,11.19,2.5518,609.16,20041.02
2025-06-18 18:20:49,0.0,10.72,2.4436,611.6,19199.27
2025-06-18 18:20:50,0.0,10.47,2.3878,613.99,18751.52
2025-06-18 18:20:51,0.0,10.63,2.4237,616.41,19038.08
2025-06-18 18:20:52,0.0,10.94,2.4948,618.91,19593.28
2025-06-18 18:20:53,0.0,10.88,2.48,621.39,19485.82
2025-06-18 18:20:54,0.0,10.97,2.5022,623.89,19647.01
2025-06-18 18:20:55,0.0,10.74,2.4488,626.34,19235.09
2025-06-18 18:20:56,0.0,11.05,2.5188,628.86,19790.29
2025-06-18 18:20:58,0.0,10.91,2.4887,631.35,19539.55
2025-06-18 18:20:59,0.0,10.94,2.4952,633.84,19593.28
2025-06-18 18:21:00,0.0,11.3,2.5751,636.42,20238.03
2025-06-18 18:21:01,0.0,10.97,2.5019,638.92,19647.01
2025-06-18 18:21:02,0.0,10.86,2.4774,641.4,19450.0
2025-06-18 18:21:03,0.0,11.05,2.5185,643.92,19790.29
2025-06-18 18:21:04,0.0,10.88,2.4805,646.4,19485.82
