timestamp,RPM,SPEED,THROTTLE_POS,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,MAF,FUEL_LEVEL
2025-04-11 18:17:51,1295.0 revolutions_per_minute,13.0 kilometer_per_hour,5.882352941176471 percent,54.90196078431372 percent,89 degree_Celsius,42 degree_Celsius,11.69 gps,N/A
2025-04-11 18:17:53,983.5 revolutions_per_minute,13.0 kilometer_per_hour,3.1372549019607843 percent,32.15686274509804 percent,89 degree_Celsius,42 degree_Celsius,8.88 gps,N/A
2025-04-11 18:17:56,964.5 revolutions_per_minute,12.0 kilometer_per_hour,3.1372549019607843 percent,32.94117647058823 percent,89 degree_Celsius,42 degree_Celsius,7.63 gps,N/A
2025-04-11 18:17:58,759.5 revolutions_per_minute,12.0 kilometer_per_hour,0.0 percent,28.627450980392158 percent,89 degree_Celsius,42 degree_Celsius,5.99 gps,N/A
2025-04-11 18:18:00,788.5 revolutions_per_minute,11.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,90 degree_Celsius,42 degree_Celsius,6.08 gps,N/A
2025-04-11 18:18:02,801.5 revolutions_per_minute,10.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,90 degree_Celsius,42 degree_Celsius,6.2700000000000005 gps,N/A
2025-04-11 18:18:05,793.0 revolutions_per_minute,6.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,90 degree_Celsius,42 degree_Celsius,6.47 gps,N/A
2025-04-11 18:18:07,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,90 degree_Celsius,42 degree_Celsius,6.44 gps,N/A
2025-04-11 18:18:09,785.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,39.21568627450981 percent,90 degree_Celsius,41 degree_Celsius,6.72 gps,N/A
2025-04-11 18:18:12,796.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.07843137254902 percent,90 degree_Celsius,41 degree_Celsius,6.33 gps,N/A
2025-04-11 18:18:14,797.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,90 degree_Celsius,41 degree_Celsius,7.19 gps,N/A
